,test/r1_i2t,test/r5_i2t,test/r10_i2t,test/r_i2t,test/r1_t2i,test/r5_t2i,test/r10_t2i,test/r_t2i,test/r_all,eval memory,gflops,sample/sec,algo,model,epoch
0,52.54,76.5,84.66,213.7,32.998800479808075,58.31267493002799,69.0483806477409,160.35985605757696,374.05985605757695,1.0,17.44745472,83.6921836228263,none,CLIP_B,
0,52.54,76.5,84.66,213.7,32.998800479808075,58.31267493002799,69.0483806477409,160.35985605757696,374.05985605757695,1.0,17.44745472,83.6216582819136,none,CLIP_B,
0,38.4,62.5,72.4,173.3,24.322271091563376,47.29308276689324,58.220711715313875,129.8360655737705,303.1360655737705,0.39623865110246465,31.483457536,69.6848548599751,PiToMe,CLIP_L,
0,49.42,73.4,82.36,205.18,31.175529788084766,55.58176729308277,66.57337065173931,153.33066773290685,358.5106677329068,0.48216601815823656,38.364659712,65.82646565664882,PiToMe,CLIP_L,
0,54.44,77.44,85.36,217.24,34.710115953618555,59.44422231107557,70.07596961215513,164.23030787684928,381.47030787684923,0.6047341115434505,48.25030656,59.80166249974532,PiToMe,CLIP_L,
0,55.84,79.28,86.52,221.64,36.321471411435425,60.93562574970012,71.359456217513,168.61655337864855,390.25655337864856,0.7786964980544737,62.452144128,53.10026237578908,PiToMe,CLIP_L,
0,32.86,56.38,66.66,155.9,21.72730907636945,42.9468212714914,53.82247101159536,118.4966013594562,274.3966013594562,0.39623865110246465,31.483457536,70.84173897303774,ToMe,CLIP_L,
0,45.36,69.66,78.76,193.78,28.56857257097161,52.5109956017593,63.60655737704918,144.6861255497801,338.4661255497801,0.48216601815823656,38.364659712,66.16251831716319,ToMe,CLIP_L,
0,51.34,75.76,83.98,211.08,32.49500199920032,57.41703318672531,67.98480607756898,157.8968412634946,368.97684126349463,0.6047341115434505,48.25030656,60.095287942179034,ToMe,CLIP_L,
0,55.24,78.52,86.22,219.98,35.58976409436225,60.25189924030388,70.62375049980008,166.4654138344662,386.4454138344662,0.7786964980544737,62.452144128,53.43586323283803,ToMe,CLIP_L,
0,7.36,17.7,24.6,49.66,8.072770891643342,19.088364654138346,26.553378648540583,53.71451419432228,103.37451419432227,0.39623865110246465,31.483457536,66.84365021371939,dct,CLIP_L,
0,21.04,41.14,51.8,113.97999999999999,16.48940423830468,35.39784086365454,45.929628148740505,97.81687325069973,211.79687325069972,0.48216601815823656,38.364659712,62.16503253498872,dct,CLIP_L,
0,35.04,60.44,71.2,166.68,24.810075969612154,47.88884446221511,59.54818072770892,132.2471011595362,298.92710115953616,0.6047341115434505,48.25030656,56.28678111111205,dct,CLIP_L,
0,43.92,69.52,78.58,192.01999999999998,29.764094362255097,53.91043582566973,64.73810475809677,148.4126349460216,340.43263494602155,0.7786964980544737,62.452144128,49.23596393564811,dct,CLIP_L,
0,56.34,79.42,86.46,222.21999999999997,36.469412235105956,61.1515393842463,71.04758096761296,168.66853258696523,390.8885325869652,1.0,80.857841664,46.93205358697954,none,CLIP_L,
0,56.34,79.42,86.46,222.21999999999997,36.469412235105956,61.1515393842463,71.04758096761296,168.66853258696523,390.8885325869652,1.0,80.857841664,47.06674105769916,none,CLIP_L,
0,56.34,79.42,86.46,222.21999999999997,36.469412235105956,61.1515393842463,71.04758096761296,168.66853258696523,390.8885325869652,1.0,80.857841664,46.893997491534094,none,CLIP_L,
0,56.34,79.42,86.46,222.21999999999997,36.469412235105956,61.1515393842463,71.04758096761296,168.66853258696523,390.8885325869652,1.0,80.857841664,46.97320123580872,none,CLIP_L,
0,69.32,89.26,94.24,252.82,51.77528988404638,77.9048380647741,85.85765693722512,215.53778488604559,468.3577848860456,0.6022530329289425,32.017910784,64.17459708916618,PiToMe,BLIP,
0,72.92,91.6,95.78,260.29999999999995,54.28228708516593,79.83206717313075,87.43302678928428,221.54738104758098,481.8473810475809,0.6786539572501431,36.280856064,61.4583376314908,PiToMe,BLIP,
