model,ratio,dataset,algo,acc,eval time
llava-v1.5-7b,0.9,scienceqa_img,tome,0.6861675756073377,65.08155131340027
llava-v1.5-7b,0.925,scienceqa_img,tome,0.6871591472483887,68.97489929199219
llava-v1.5-7b,0.95,scienceqa_img,tome,0.6826970748636589,83.34373140335083
llava-v1.5-7b,0.975,scienceqa_img,tome,0.6846802181457611,93.92616820335388
llava-v1.5-7b,0.85,scienceqa_img,pitome,0.6673277144273674,61.6125545501709
llava-v1.5-7b,0.875,scienceqa_img,pitome,0.6717897868120972,62.39009141921997
llava-v1.5-7b,0.9,scienceqa_img,pitome,0.6891422905304908,65.20675730705261
llava-v1.5-7b,0.925,scienceqa_img,pitome,0.6902181457610312,70.4299054145813
llava-v1.5-7b,0.95,scienceqa_img,pitome,0.6856717897868121,84.62131929397583
llava-v1.5-7b,0.975,scienceqa_img,pitome,0.6881507188894398,94.6254448890686
llava-v1.5-7b,0.85,mme,tome,1003.6264505802321,79.95827579498291
llava-v1.5-7b,0.875,mme,tome,1203.6264505802321,79.95827579498291
llava-v1.5-7b,0.9,mme,tome,1263.0085034013607,80.71147513389587
llava-v1.5-7b,0.925,mme,tome,1362.0894357743098,86.85423731803894
llava-v1.5-7b,0.95,mme,tome,1431.4651860744298,94.67379069328308
llava-v1.5-7b,0.975,mme,tome,1422.187174869948,125.07408928871155
llava-v1.5-7b,0.85,mme,pitome,1074.9136654661866,80.66176629066467
llava-v1.5-7b,0.875,mme,pitome,1195.6339535814327,80.45047855377197
llava-v1.5-7b,0.9,mme,pitome,1315.1025410164066,80.93143010139465
llava-v1.5-7b,0.925,mme,pitome,1412.0081032412966,87.19968867301941
llava-v1.5-7b,0.95,mme,pitome,1445.421568627451,95.77745914459229
llava-v1.5-7b,0.975,mme,pitome,1489.5001000400162,126.53167772293091
llava-v1.5-7b,0.85,scienceqa_img,tome,0.6643529995042142,61.19876503944397
llava-v1.5-7b,0.875,scienceqa_img,tome,0.6722012890431334,61.6106321811676
llava-v1.5-7b,0.9,scienceqa_img,tome,0.6822012890431334,64.61321234703064
llava-v1.5-7b,0.925,scienceqa_img,tome,0.6831928606841844,67.24862575531006
llava-v1.5-7b,0.95,scienceqa_img,tome,0.6861675756073377,82.57705783843994
llava-v1.5-7b,0.975,scienceqa_img,tome,0.6846802181457611,93.85740923881531
llava-v1.5-7b,0.85,scienceqa_img,pitome,0.6703024293505205,61.36834979057312
llava-v1.5-7b,0.875,scienceqa_img,pitome,0.6732771442736738,61.61777949333191
llava-v1.5-7b,0.9,scienceqa_img,pitome,0.68368864650471,65.40836763381958
llava-v1.5-7b,0.925,scienceqa_img,pitome,0.6871591472483887,68.20469522476196
llava-v1.5-7b,0.95,scienceqa_img,pitome,0.6896380763510164,83.89699292182922
llava-v1.5-7b,0.975,scienceqa_img,pitome,0.69168864650471,94.68880081176758
llava-v1.5-7b,0.85,mme,tome,1076.0409163665465,79.6846170425415
llava-v1.5-7b,0.875,mme,tome,1200.7050820328132,79.66244339942932
llava-v1.5-7b,0.9,mme,tome,1293.9539815926369,79.90738463401794
llava-v1.5-7b,0.925,mme,tome,1356.3958583433373,86.76159381866455
llava-v1.5-7b,0.95,mme,tome,1418.3361344537814,95.20644545555115
llava-v1.5-7b,0.975,mme,tome,1418.220088035214,125.60520195960999
llava-v1.5-7b,0.85,mme,pitome,1072.6820728291318,80.68090200424194
llava-v1.5-7b,0.875,mme,pitome,1174.2252901160464,80.51982688903809
llava-v1.5-7b,0.9,mme,pitome,1291.0729291716686,80.60160827636719
llava-v1.5-7b,0.925,mme,pitome,1399.2684073629453,87.48090887069702
llava-v1.5-7b,0.95,mme,pitome,1455.3973589435773,95.07561254501343
llava-v1.5-7b,0.975,mme,pitome,1463.9134653861545,125.95252132415771
llava-v1.5-7b,0.85,scienceqa_img,tome,0.6663361427863164,60.521546363830566
llava-v1.5-7b,0.875,scienceqa_img,tome,0.6747645017352504,61.6225311756134
llava-v1.5-7b,0.9,scienceqa_img,tome,0.6812097174020822,65.34076237678528
llava-v1.5-7b,0.925,scienceqa_img,tome,0.6886465047099652,67.11890292167664
llava-v1.5-7b,0.95,scienceqa_img,tome,0.6886465047099652,83.3530478477478
llava-v1.5-7b,0.975,scienceqa_img,tome,0.6896380763510164,94.0531075000763
llava-v1.5-7b,0.85,scienceqa_img,pitome,0.6742687159147248,61.5891170501709
llava-v1.5-7b,0.875,scienceqa_img,pitome,0.6737729300941993,62.087889432907104
llava-v1.5-7b,0.9,scienceqa_img,pitome,0.6831928606841844,66.00605773925781
llava-v1.5-7b,0.925,scienceqa_img,pitome,0.6866633614278632,67.88528156280518
llava-v1.5-7b,0.95,scienceqa_img,pitome,0.6866633614278632,83.82609105110168
llava-v1.5-7b,0.975,scienceqa_img,pitome,0.6926970748636589,94.73013734817505
llava-v1.5-7b,0.85,mme,tome,1052.7761104441777,80.39755344390869
llava-v1.5-7b,0.875,mme,tome,1186.3673469387757,79.94088959693909
llava-v1.5-7b,0.9,mme,tome,1201.6333533413365,80.15027904510498
llava-v1.5-7b,0.925,mme,tome,1364.6937775110043,86.97886967658997
llava-v1.5-7b,0.95,mme,tome,1421.518607442977,94.71137237548828
llava-v1.5-7b,0.975,mme,tome,1439.0409163665468,124.84397196769714
llava-v1.5-7b,0.85,mme,pitome,1052.4655862344937,80.4704601764679
llava-v1.5-7b,0.875,mme,pitome,1184.1831732693076,80.81106209754944
llava-v1.5-7b,0.9,mme,pitome,1284.0062024809922,81.5157470703125
llava-v1.5-7b,0.925,mme,pitome,1398.1347539015605,87.63108992576599
llava-v1.5-7b,0.95,mme,pitome,1466.3619447779113,95.31675815582275
llava-v1.5-7b,0.975,mme,pitome,1496.4793917567026,126.3065824508667
