,test/r1_i2t,test/r5_i2t,test/r10_i2t,test/r_i2t,test/r1_t2i,test/r5_t2i,test/r10_t2i,test/r_t2i,test/r_all,eval memory,gflops,sample/sec,algo,use k,model,epoch
0,79.3,94.7,97.7,271.7,69.9,89.92,94.46,254.27999999999997,525.98,0.6022530329289426,32.017910784,48.43200004951392,ToMe,False,BLIP,
0,84.0,95.9,98.1,278.0,73.42,91.36,95.34,260.12,538.12,0.6786539572501445,36.280856064,46.953400772814426,ToMe,False,BLIP,
0,88.3,97.9,99.0,285.2,76.38,93.62,96.72,266.72,551.92,0.7700751010976317,41.487277056,42.238355800331384,ToMe,False,BLIP,
0,91.5,98.6,99.5,289.6,78.42,94.7,97.04,270.16,559.76,0.8769497400346621,47.72971008,40.19672927375793,ToMe,False,BLIP,
0,56.4,83.1,89.7,229.2,52.06,77.92,85.1,215.08,444.28,0.25800098473658295,168.93665536,26.816585877913305,PiToMe,False,BLIP2,0.0
0,79.4,96.1,98.8,274.3,74.06,93.04,96.22,263.32000000000005,537.62,0.3320834753626481,217.65246976,17.27322259798253,PiToMe,False,BLIP2,0.0
0,88.1,99.8,100.0,287.9,83.18,96.82,98.62,278.62,566.52,0.4516153467409006,296.93587968,15.008928251576465,PiToMe,False,BLIP2,0.0
0,90.0,99.5,99.9,289.4,85.78,97.7,98.96,282.44,571.8399999999999,0.6548877021550581,434.503587584,10.13575438478979,PiToMe,False,BLIP2,0.0
0,53.2,80.7,89.0,222.9,51.18,78.94,86.04,216.16000000000003,439.06,0.25800098473658295,168.93665536,24.39810417784517,ToMe,False,BLIP2,0.0
0,73.8,94.8,97.5,266.1,71.76,92.38,96.02,260.15999999999997,526.26,0.3320834753626481,217.65246976,19.201694094776244,ToMe,False,BLIP2,0.0
0,85.5,99.1,99.6,284.2,81.6,96.62,98.46,276.68,560.88,0.4516153467409006,296.93587968,14.608274425516216,ToMe,False,BLIP2,0.0
0,89.4,99.6,99.8,288.8,85.12,97.56,98.88,281.56,570.36,0.6548877021550581,434.503587584,10.332859918667909,ToMe,False,BLIP2,0.0
